timestamp_utc,price_eur_per_mwh,timestamp_europe_berlin,delivery_date
2023-12-31T23:00:00Z,0.1,2024-01-01T00:00:00+01:00,2024-01-01
2024-01-01T00:00:00Z,0.01,2024-01-01T01:00:00+01:00,2024-01-01
2024-01-01T01:00:00Z,0.0,2024-01-01T02:00:00+01:00,2024-01-01
2024-01-01T02:00:00Z,-0.01,2024-01-01T03:00:00+01:00,2024-01-01
2024-01-01T03:00:00Z,-0.03,2024-01-01T04:00:00+01:00,2024-01-01
2024-01-01T04:00:00Z,-0.02,2024-01-01T05:00:00+01:00,2024-01-01
2024-01-01T05:00:00Z,-0.05,2024-01-01T06:00:00+01:00,2024-01-01
2024-01-01T06:00:00Z,-0.02,2024-01-01T07:00:00+01:00,2024-01-01
2024-01-01T07:00:00Z,0.0,2024-01-01T08:00:00+01:00,2024-01-01
2024-01-01T08:00:00Z,0.04,2024-01-01T09:00:00+01:00,2024-01-01
2024-01-01T09:00:00Z,0.06,2024-01-01T10:00:00+01:00,2024-01-01
2024-01-01T10:00:00Z,0.54,2024-01-01T11:00:00+01:00,2024-01-01
2024-01-01T11:00:00Z,2.24,2024-01-01T12:00:00+01:00,2024-01-01
2024-01-01T12:00:00Z,1.96,2024-01-01T13:00:00+01:00,2024-01-01
2024-01-01T13:00:00Z,1.04,2024-01-01T14:00:00+01:00,2024-01-01
2024-01-01T14:00:00Z,3.66,2024-01-01T15:00:00+01:00,2024-01-01
2024-01-01T15:00:00Z,43.06,2024-01-01T16:00:00+01:00,2024-01-01
2024-01-01T16:00:00Z,49.93,2024-01-01T17:00:00+01:00,2024-01-01
2024-01-01T17:00:00Z,58.0,2024-01-01T18:00:00+01:00,2024-01-01
2024-01-01T18:00:00Z,54.25,2024-01-01T19:00:00+01:00,2024-01-01
2024-01-01T19:00:00Z,48.01,2024-01-01T20:00:00+01:00,2024-01-01
2024-01-01T20:00:00Z,42.95,2024-01-01T21:00:00+01:00,2024-01-01
2024-01-01T21:00:00Z,47.09,2024-01-01T22:00:00+01:00,2024-01-01
2024-01-01T22:00:00Z,35.55,2024-01-01T23:00:00+01:00,2024-01-01
2024-01-01T23:00:00Z,30.59,2024-01-02T00:00:00+01:00,2024-01-02
2024-01-02T00:00:00Z,20.07,2024-01-02T01:00:00+01:00,2024-01-02
2024-01-02T01:00:00Z,31.03,2024-01-02T02:00:00+01:00,2024-01-02
2024-01-02T02:00:00Z,18.39,2024-01-02T03:00:00+01:00,2024-01-02
2024-01-02T03:00:00Z,11.08,2024-01-02T04:00:00+01:00,2024-01-02
2024-01-02T04:00:00Z,13.78,2024-01-02T05:00:00+01:00,2024-01-02
2024-01-02T05:00:00Z,47.63,2024-01-02T06:00:00+01:00,2024-01-02
2024-01-02T06:00:00Z,58.1,2024-01-02T07:00:00+01:00,2024-01-02
2024-01-02T07:00:00Z,65.67,2024-01-02T08:00:00+01:00,2024-01-02
